# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_02/J-85/bam/J-85.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	5
+	30	1327
+	31	1443
+	32	1538
+	33	1552
+	34	1639
+	35	1564
+	36	1701
+	37	1776
+	38	2044
+	39	2101
+	40	2233
+	41	2334
+	42	2373
+	43	2448
+	44	2448
+	45	2370
+	46	2459
+	47	2455
+	48	2492
+	49	2457
+	50	2523
+	51	2636
+	52	2506
+	53	2415
+	54	2458
+	55	2279
+	56	2178
+	57	2224
+	58	2161
+	59	1966
+	60	1838
+	61	1733
+	62	1632
+	63	1631
+	64	1302
+	65	79
+	66	219
+	67	605
+	68	1822
+	69	6830
+	70	9395
+	71	51
+	72	16
+	73	2
-	28	1
-	29	3
-	30	1294
-	31	1421
-	32	1529
-	33	1547
-	34	1604
-	35	1629
-	36	1763
-	37	1807
-	38	1964
-	39	2053
-	40	2135
-	41	2270
-	42	2305
-	43	2353
-	44	2425
-	45	2320
-	46	2380
-	47	2362
-	48	2537
-	49	2413
-	50	2548
-	51	2476
-	52	2538
-	53	2558
-	54	2423
-	55	2274
-	56	2237
-	57	2199
-	58	2126
-	59	1898
-	60	1906
-	61	1727
-	62	1656
-	63	1569
-	64	1431
-	65	71
-	66	198
-	67	625
-	68	1824
-	69	6936
-	70	9455
-	71	53
-	72	12
-	73	2
