# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-12/bam/J-12.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	7
+	29	40
+	30	15763
+	31	17756
+	32	19472
+	33	21308
+	34	22658
+	35	24400
+	36	26837
+	37	29130
+	38	31561
+	39	34392
+	40	36898
+	41	39583
+	42	41444
+	43	43042
+	44	44346
+	45	45188
+	46	46542
+	47	47469
+	48	48935
+	49	49981
+	50	51361
+	51	52880
+	52	54029
+	53	54325
+	54	54489
+	55	54073
+	56	54320
+	57	55632
+	58	59449
+	59	56513
+	60	57963
+	61	52348
+	62	53751
+	63	54026
+	64	52634
+	65	7196
+	66	20526
+	67	59274
+	68	178309
+	69	618693
+	70	1150762
+	71	7203
+	72	1469
+	73	344
+	74	164
-	28	2
-	29	34
-	30	15429
-	31	17544
-	32	19646
-	33	21365
-	34	22690
-	35	24236
-	36	26808
-	37	29135
-	38	31756
-	39	34347
-	40	36852
-	41	39355
-	42	41691
-	43	43357
-	44	44476
-	45	45281
-	46	45892
-	47	47445
-	48	48650
-	49	49794
-	50	51618
-	51	53031
-	52	53970
-	53	54694
-	54	54787
-	55	54046
-	56	53629
-	57	55121
-	58	59189
-	59	56126
-	60	58090
-	61	52211
-	62	53329
-	63	54194
-	64	52994
-	65	7285
-	66	20151
-	67	59494
-	68	178794
-	69	617778
-	70	1151596
-	71	7235
-	72	1450
-	73	333
-	74	159
