# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-72/bam/J-72.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	7
+	30	616
+	31	636
+	32	663
+	33	639
+	34	669
+	35	774
+	36	808
+	37	873
+	38	958
+	39	1067
+	40	1112
+	41	1226
+	42	1283
+	43	1299
+	44	1334
+	45	1394
+	46	1491
+	47	1526
+	48	1635
+	49	1612
+	50	1780
+	51	1895
+	52	1866
+	53	1921
+	54	2062
+	55	2123
+	56	2071
+	57	2132
+	58	2284
+	59	2117
+	60	2284
+	61	2268
+	62	2364
+	63	2536
+	64	2728
+	65	2864
+	66	3868
+	67	6571
+	68	13486
+	69	32280
+	70	31596
+	71	227
+	72	40
+	73	12
+	74	3
-	29	10
-	30	569
-	31	607
-	32	652
-	33	679
-	34	661
-	35	769
-	36	830
-	37	913
-	38	983
-	39	1016
-	40	1102
-	41	1122
-	42	1240
-	43	1261
-	44	1368
-	45	1340
-	46	1473
-	47	1427
-	48	1633
-	49	1694
-	50	1766
-	51	1814
-	52	1870
-	53	2032
-	54	1979
-	55	2105
-	56	2069
-	57	2182
-	58	2234
-	59	2195
-	60	2277
-	61	2313
-	62	2354
-	63	2450
-	64	2693
-	65	2832
-	66	3865
-	67	6650
-	68	13444
-	69	32401
-	70	31308
-	71	226
-	72	59
-	73	6
-	74	2
