# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-15/bam/J-15.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	8
+	30	1366
+	31	1425
+	32	1551
+	33	1594
+	34	1731
+	35	1930
+	36	2074
+	37	2299
+	38	2733
+	39	2939
+	40	3264
+	41	3518
+	42	3688
+	43	3956
+	44	4108
+	45	4404
+	46	4670
+	47	5086
+	48	5313
+	49	5636
+	50	6293
+	51	6543
+	52	6761
+	53	6938
+	54	7337
+	55	7506
+	56	7861
+	57	8161
+	58	9113
+	59	8880
+	60	9587
+	61	8726
+	62	8880
+	63	9313
+	64	9389
+	65	1316
+	66	3813
+	67	11354
+	68	33113
+	69	114019
+	70	210591
+	71	1131
+	72	252
+	73	56
+	74	22
-	29	4
-	30	1289
-	31	1430
-	32	1555
-	33	1639
-	34	1791
-	35	1853
-	36	2111
-	37	2339
-	38	2736
-	39	2877
-	40	3306
-	41	3525
-	42	3901
-	43	4038
-	44	4281
-	45	4378
-	46	4672
-	47	5082
-	48	5435
-	49	5917
-	50	6133
-	51	6421
-	52	6756
-	53	7057
-	54	7281
-	55	7648
-	56	7874
-	57	8268
-	58	9232
-	59	8950
-	60	9393
-	61	8570
-	62	8977
-	63	9248
-	64	9104
-	65	1313
-	66	3851
-	67	11264
-	68	33089
-	69	114050
-	70	211022
-	71	1136
-	72	222
-	73	62
-	74	29
