# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-32/bam/J-32.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	1
+	29	12
+	30	13791
+	31	16932
+	32	20355
+	33	21998
+	34	19865
+	35	16402
+	36	14668
+	37	14248
+	38	14754
+	39	16063
+	40	17655
+	41	19979
+	42	23222
+	43	26450
+	44	27053
+	45	24167
+	46	21774
+	47	21208
+	48	21928
+	49	23280
+	50	26138
+	51	30341
+	52	35397
+	53	39366
+	54	41583
+	55	38859
+	56	38037
+	57	40420
+	58	49926
+	59	47591
+	60	53721
+	61	50014
+	62	60465
+	63	72122
+	64	79111
+	65	23940
+	66	65613
+	67	181211
+	68	491529
+	69	1334557
+	70	2475958
+	71	15653
+	72	3112
+	73	764
+	74	328
-	28	1
-	29	13
-	30	13728
-	31	17040
-	32	20565
-	33	21956
-	34	19816
-	35	16505
-	36	14569
-	37	14225
-	38	14884
-	39	15949
-	40	17694
-	41	20276
-	42	23628
-	43	26350
-	44	27436
-	45	24482
-	46	21684
-	47	21297
-	48	21788
-	49	23360
-	50	26221
-	51	30312
-	52	35382
-	53	39431
-	54	42110
-	55	38980
-	56	37990
-	57	41214
-	58	49947
-	59	47567
-	60	53953
-	61	49771
-	62	60464
-	63	72313
-	64	78929
-	65	23744
-	66	65388
-	67	180766
-	68	490963
-	69	1333808
-	70	2476114
-	71	15769
-	72	3149
-	73	712
-	74	281
