# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_02/J-84/bam/J-84.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	1
+	29	36
+	30	3066
+	31	3462
+	32	3709
+	33	3761
+	34	4008
+	35	4094
+	36	4211
+	37	4489
+	38	4770
+	39	5069
+	40	5096
+	41	5185
+	42	5130
+	43	5279
+	44	5147
+	45	4756
+	46	4619
+	47	4563
+	48	4170
+	49	4103
+	50	3890
+	51	3748
+	52	3748
+	53	3346
+	54	3042
+	55	2963
+	56	2660
+	57	2469
+	58	2300
+	59	2164
+	60	1957
+	61	1683
+	62	1573
+	63	1481
+	64	1164
+	65	57
+	66	141
+	67	348
+	68	1098
+	69	4440
+	70	6036
+	71	23
+	72	2
-	28	5
-	29	56
-	30	3289
-	31	3403
-	32	3592
-	33	3867
-	34	3955
-	35	4237
-	36	4213
-	37	4564
-	38	4821
-	39	4878
-	40	5118
-	41	5283
-	42	5258
-	43	5332
-	44	4982
-	45	4782
-	46	4589
-	47	4383
-	48	4260
-	49	4052
-	50	3827
-	51	3784
-	52	3549
-	53	3373
-	54	3322
-	55	2911
-	56	2704
-	57	2406
-	58	2285
-	59	2135
-	60	1945
-	61	1683
-	62	1558
-	63	1454
-	64	1233
-	65	45
-	66	131
-	67	353
-	68	1080
-	69	4479
-	70	6274
-	71	35
-	72	6
-	74	1
