# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-14/bam/J-14.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	2
+	30	54
+	31	51
+	32	62
+	33	58
+	34	44
+	35	53
+	36	51
+	37	48
+	38	42
+	39	54
+	40	54
+	41	58
+	42	66
+	43	66
+	44	86
+	45	68
+	46	68
+	47	88
+	48	82
+	49	74
+	50	65
+	51	88
+	52	84
+	53	97
+	54	86
+	55	82
+	56	103
+	57	77
+	58	98
+	59	92
+	60	75
+	61	77
+	62	92
+	63	105
+	64	89
+	65	13
+	66	50
+	67	146
+	68	410
+	69	1374
+	70	2308
+	71	13
+	72	2
+	73	1
-	29	4
-	30	50
-	31	45
-	32	48
-	33	46
-	34	47
-	35	54
-	36	60
-	37	44
-	38	71
-	39	58
-	40	52
-	41	72
-	42	74
-	43	68
-	44	81
-	45	59
-	46	75
-	47	60
-	48	83
-	49	66
-	50	81
-	51	89
-	52	89
-	53	96
-	54	77
-	55	96
-	56	110
-	57	94
-	58	99
-	59	106
-	60	81
-	61	79
-	62	73
-	63	79
-	64	82
-	65	16
-	66	35
-	67	139
-	68	343
-	69	1289
-	70	2416
-	71	18
-	72	5
