# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_02/J-60/bam/J-60.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	15
+	29	152
+	30	100909
+	31	111591
+	32	121116
+	33	130753
+	34	136883
+	35	144409
+	36	151886
+	37	159266
+	38	165390
+	39	170826
+	40	174650
+	41	176491
+	42	177410
+	43	176135
+	44	172916
+	45	167469
+	46	162029
+	47	157369
+	48	153230
+	49	148091
+	50	142489
+	51	137819
+	52	132121
+	53	125212
+	54	117874
+	55	109750
+	56	103489
+	57	98162
+	58	93209
+	59	85787
+	60	81007
+	61	73737
+	62	68196
+	63	62102
+	64	52136
+	65	2337
+	66	5883
+	67	17801
+	68	54607
+	69	214667
+	70	298620
+	71	1502
+	72	259
+	73	62
+	74	26
-	28	9
-	29	179
-	30	100690
-	31	111585
-	32	121051
-	33	130014
-	34	137937
-	35	144495
-	36	151278
-	37	158800
-	38	164713
-	39	170529
-	40	174994
-	41	176584
-	42	177566
-	43	175611
-	44	172411
-	45	167064
-	46	162182
-	47	157791
-	48	152682
-	49	148019
-	50	143275
-	51	137669
-	52	130784
-	53	125191
-	54	118131
-	55	110121
-	56	103267
-	57	98261
-	58	93019
-	59	85688
-	60	79732
-	61	72942
-	62	67855
-	63	61692
-	64	52170
-	65	2339
-	66	6134
-	67	17491
-	68	53960
-	69	215756
-	70	299906
-	71	1518
-	72	263
-	73	67
-	74	31
