# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-26/bam/J-26.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	2
+	30	290
+	31	351
+	32	370
+	33	360
+	34	438
+	35	499
+	36	525
+	37	584
+	38	716
+	39	749
+	40	875
+	41	894
+	42	1025
+	43	1027
+	44	1117
+	45	1103
+	46	1165
+	47	1197
+	48	1200
+	49	1338
+	50	1390
+	51	1480
+	52	1571
+	53	1692
+	54	1684
+	55	1700
+	56	1750
+	57	1902
+	58	2076
+	59	1976
+	60	2055
+	61	1914
+	62	1900
+	63	2000
+	64	2029
+	65	879
+	66	2290
+	67	6029
+	68	15746
+	69	42217
+	70	51624
+	71	332
+	72	56
+	73	17
+	74	7
-	29	4
-	30	269
-	31	331
-	32	411
-	33	398
-	34	442
-	35	479
-	36	540
-	37	631
-	38	683
-	39	768
-	40	894
-	41	894
-	42	1006
-	43	1032
-	44	1083
-	45	1115
-	46	1133
-	47	1236
-	48	1217
-	49	1313
-	50	1472
-	51	1443
-	52	1574
-	53	1581
-	54	1632
-	55	1646
-	56	1700
-	57	1857
-	58	2009
-	59	1907
-	60	1989
-	61	1832
-	62	1903
-	63	2021
-	64	2090
-	65	890
-	66	2291
-	67	6019
-	68	15545
-	69	41948
-	70	51530
-	71	317
-	72	77
-	73	11
-	74	7
