# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-21/bam/J-21.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	2
+	29	20
+	30	1354
+	31	1631
+	32	1971
+	33	2263
+	34	2357
+	35	2055
+	36	1932
+	37	2028
+	38	2196
+	39	2514
+	40	2639
+	41	2889
+	42	3410
+	43	3771
+	44	4075
+	45	3858
+	46	3453
+	47	3542
+	48	3567
+	49	3574
+	50	4002
+	51	4287
+	52	4679
+	53	5200
+	54	5246
+	55	5023
+	56	4764
+	57	4800
+	58	5067
+	59	4972
+	60	5187
+	61	5044
+	62	5569
+	63	6190
+	64	5923
+	65	1490
+	66	3617
+	67	9358
+	68	25622
+	69	71723
+	70	86803
+	71	570
+	72	116
+	73	27
+	74	9
-	28	1
-	29	16
-	30	1385
-	31	1749
-	32	1993
-	33	2204
-	34	2305
-	35	2075
-	36	1985
-	37	2017
-	38	2231
-	39	2446
-	40	2758
-	41	3009
-	42	3390
-	43	3895
-	44	3925
-	45	3794
-	46	3508
-	47	3517
-	48	3536
-	49	3656
-	50	3962
-	51	4234
-	52	4692
-	53	5179
-	54	5303
-	55	4998
-	56	4701
-	57	4834
-	58	5095
-	59	4919
-	60	5150
-	61	5061
-	62	5667
-	63	6183
-	64	5788
-	65	1437
-	66	3696
-	67	9430
-	68	25952
-	69	72098
-	70	86450
-	71	598
-	72	143
-	73	19
-	74	8
