# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_02/J-81/bam/J-81.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	3
+	29	38
+	30	3904
+	31	4438
+	32	4713
+	33	4885
+	34	4936
+	35	4869
+	36	4920
+	37	4982
+	38	5233
+	39	5230
+	40	5370
+	41	5380
+	42	5368
+	43	5211
+	44	4985
+	45	4636
+	46	4260
+	47	3954
+	48	3766
+	49	3526
+	50	3294
+	51	3244
+	52	2972
+	53	2790
+	54	2561
+	55	2359
+	56	2030
+	57	2020
+	58	1808
+	59	1630
+	60	1526
+	61	1400
+	62	1168
+	63	1088
+	64	918
+	65	42
+	66	114
+	67	277
+	68	801
+	69	3268
+	70	4433
+	71	42
+	72	5
-	28	4
-	29	51
-	30	3935
-	31	4441
-	32	4774
-	33	4775
-	34	4771
-	35	4870
-	36	4810
-	37	5000
-	38	5206
-	39	5273
-	40	5252
-	41	5259
-	42	5259
-	43	5266
-	44	4894
-	45	4531
-	46	4284
-	47	4093
-	48	3735
-	49	3588
-	50	3335
-	51	3226
-	52	3014
-	53	2774
-	54	2517
-	55	2453
-	56	2161
-	57	1932
-	58	1801
-	59	1667
-	60	1527
-	61	1327
-	62	1194
-	63	1145
-	64	958
-	65	37
-	66	89
-	67	263
-	68	808
-	69	3154
-	70	4555
-	71	31
-	72	4
-	74	1
