# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-44/bam/J-44.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	3
+	29	15
+	30	15835
+	31	17515
+	32	19237
+	33	20716
+	34	22183
+	35	24013
+	36	26376
+	37	28876
+	38	31789
+	39	35370
+	40	37995
+	41	41015
+	42	44383
+	43	47232
+	44	50194
+	45	53171
+	46	57133
+	47	62333
+	48	66260
+	49	72542
+	50	77587
+	51	84257
+	52	89902
+	53	94462
+	54	103091
+	55	108672
+	56	117727
+	57	131714
+	58	162273
+	59	153002
+	60	166096
+	61	137524
+	62	148955
+	63	161485
+	64	174693
+	65	74752
+	66	207088
+	67	568368
+	68	1572954
+	69	4252547
+	70	7994741
+	71	58769
+	72	10924
+	73	2531
+	74	1178
-	28	1
-	29	15
-	30	15871
-	31	17498
-	32	19121
-	33	20824
-	34	22208
-	35	23796
-	36	26132
-	37	29072
-	38	32104
-	39	35334
-	40	38524
-	41	41258
-	42	44507
-	43	47446
-	44	50664
-	45	53545
-	46	57651
-	47	61995
-	48	67411
-	49	72205
-	50	77781
-	51	83745
-	52	89907
-	53	95079
-	54	103153
-	55	108628
-	56	118117
-	57	132624
-	58	162085
-	59	152938
-	60	166790
-	61	137834
-	62	147813
-	63	162357
-	64	173854
-	65	74960
-	66	206126
-	67	567044
-	68	1576988
-	69	4251259
-	70	8001418
-	71	58954
-	72	11078
-	73	2597
-	74	1224
