# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_01/J-50/bam/J-50.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	6
+	30	594
+	31	648
+	32	626
+	33	594
+	34	581
+	35	578
+	36	510
+	37	518
+	38	483
+	39	535
+	40	478
+	41	504
+	42	599
+	43	547
+	44	537
+	45	527
+	46	507
+	47	583
+	48	533
+	49	569
+	50	613
+	51	598
+	52	656
+	53	652
+	54	632
+	55	603
+	56	580
+	57	659
+	58	671
+	59	668
+	60	663
+	61	663
+	62	646
+	63	742
+	64	668
+	65	77
+	66	168
+	67	492
+	68	1460
+	69	5137
+	70	9201
+	71	176
+	72	40
+	73	4
-	29	5
-	30	596
-	31	657
-	32	608
-	33	602
-	34	600
-	35	545
-	36	525
-	37	507
-	38	483
-	39	506
-	40	526
-	41	548
-	42	539
-	43	530
-	44	534
-	45	497
-	46	481
-	47	527
-	48	535
-	49	572
-	50	594
-	51	655
-	52	691
-	53	620
-	54	590
-	55	643
-	56	573
-	57	666
-	58	672
-	59	677
-	60	727
-	61	662
-	62	704
-	63	692
-	64	658
-	65	82
-	66	177
-	67	473
-	68	1504
-	69	5132
-	70	9115
-	71	175
-	72	31
-	73	11
-	74	2
