# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_01/J-51/bam/J-51.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	13
+	29	39
+	30	49029
+	31	50214
+	32	50700
+	33	49133
+	34	48933
+	35	48173
+	36	48523
+	37	50121
+	38	53699
+	39	58903
+	40	62690
+	41	65498
+	42	66771
+	43	67464
+	44	67910
+	45	68058
+	46	68926
+	47	71658
+	48	75965
+	49	81858
+	50	86159
+	51	88498
+	52	89764
+	53	89335
+	54	87615
+	55	86139
+	56	84413
+	57	85846
+	58	90222
+	59	88506
+	60	90133
+	61	84037
+	62	83782
+	63	80255
+	64	75814
+	65	6452
+	66	16192
+	67	49179
+	68	146290
+	69	506659
+	70	931433
+	71	14288
+	72	2275
+	73	450
+	74	134
-	28	8
-	29	66
-	30	48743
-	31	50002
-	32	50509
-	33	49474
-	34	48832
-	35	48121
-	36	48161
-	37	49922
-	38	53661
-	39	58602
-	40	63055
-	41	65489
-	42	66876
-	43	66788
-	44	67688
-	45	67561
-	46	69235
-	47	71680
-	48	76071
-	49	80980
-	50	86411
-	51	88605
-	52	89788
-	53	88995
-	54	87788
-	55	85556
-	56	84728
-	57	86060
-	58	89898
-	59	89201
-	60	90147
-	61	83648
-	62	82911
-	63	80593
-	64	75178
-	65	6353
-	66	15970
-	67	49070
-	68	145274
-	69	506776
-	70	930362
-	71	14466
-	72	2194
-	73	414
-	74	155
