# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_01/J-18/bam/J-18.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	4
+	30	11
+	31	9
+	32	7
+	33	3
+	34	5
+	35	6
+	36	6
+	38	2
+	39	4
+	40	5
+	41	5
+	42	8
+	43	4
+	44	10
+	45	10
+	46	11
+	47	7
+	48	7
+	49	9
+	50	7
+	51	7
+	52	5
+	53	9
+	54	8
+	55	5
+	56	6
+	57	5
+	58	8
+	59	3
+	60	5
+	61	4
+	62	7
+	63	4
+	64	5
+	65	2
+	67	2
+	68	11
+	69	55
+	70	90
-	30	6
-	31	6
-	32	10
-	33	7
-	34	8
-	35	6
-	36	1
-	37	4
-	38	2
-	39	8
-	40	4
-	41	3
-	42	5
-	43	2
-	44	5
-	45	10
-	46	8
-	47	7
-	48	7
-	49	4
-	50	7
-	51	6
-	52	7
-	53	5
-	54	6
-	55	2
-	56	6
-	57	8
-	58	8
-	59	7
-	60	7
-	61	7
-	62	13
-	63	6
-	64	12
-	65	1
-	66	3
-	67	4
-	68	8
-	69	55
-	70	78
-	71	2
