# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_01/J-39/bam/J-39.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	3
+	30	639
+	31	674
+	32	671
+	33	679
+	34	648
+	35	618
+	36	615
+	37	631
+	38	622
+	39	591
+	40	648
+	41	630
+	42	603
+	43	604
+	44	618
+	45	571
+	46	593
+	47	619
+	48	615
+	49	617
+	50	665
+	51	681
+	52	657
+	53	706
+	54	735
+	55	730
+	56	675
+	57	841
+	58	904
+	59	878
+	60	866
+	61	822
+	62	905
+	63	856
+	64	919
+	65	103
+	66	312
+	67	1005
+	68	2915
+	69	9665
+	70	17266
+	71	279
+	72	48
+	73	6
+	74	7
-	29	2
-	30	678
-	31	673
-	32	660
-	33	637
-	34	652
-	35	649
-	36	643
-	37	601
-	38	648
-	39	617
-	40	580
-	41	637
-	42	585
-	43	606
-	44	600
-	45	581
-	46	584
-	47	601
-	48	638
-	49	674
-	50	626
-	51	651
-	52	693
-	53	695
-	54	679
-	55	670
-	56	747
-	57	790
-	58	935
-	59	874
-	60	934
-	61	881
-	62	910
-	63	928
-	64	884
-	65	120
-	66	309
-	67	979
-	68	2882
-	69	9459
-	70	17490
-	71	274
-	72	48
-	73	7
-	74	5
