# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-04/bam/J-04.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	1
+	29	27
+	30	509
+	31	531
+	32	618
+	33	657
+	34	640
+	35	721
+	36	773
+	37	814
+	38	855
+	39	971
+	40	1008
+	41	1085
+	42	1137
+	43	1120
+	44	1180
+	45	1143
+	46	1084
+	47	1071
+	48	1001
+	49	1035
+	50	1034
+	51	1048
+	52	1042
+	53	1049
+	54	1104
+	55	1078
+	56	1002
+	57	1052
+	58	918
+	59	887
+	60	840
+	61	801
+	62	768
+	63	722
+	64	769
+	65	54
+	66	137
+	67	462
+	68	1292
+	69	5063
+	70	9154
+	71	58
+	72	11
+	73	6
+	74	2
-	28	1
-	29	21
-	30	498
-	31	529
-	32	596
-	33	650
-	34	692
-	35	681
-	36	822
-	37	830
-	38	891
-	39	945
-	40	966
-	41	995
-	42	1108
-	43	1133
-	44	1240
-	45	1131
-	46	1108
-	47	1102
-	48	1085
-	49	1094
-	50	1022
-	51	1021
-	52	1105
-	53	1022
-	54	1067
-	55	1008
-	56	1003
-	57	992
-	58	966
-	59	966
-	60	844
-	61	795
-	62	810
-	63	808
-	64	755
-	65	48
-	66	142
-	67	425
-	68	1304
-	69	5077
-	70	9354
-	71	47
-	72	12
-	73	4
-	74	1
