# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_02/J-86/bam/J-86.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	9
+	29	82
+	30	31634
+	31	33429
+	32	29634
+	33	25449
+	34	22817
+	35	21603
+	36	20727
+	37	21131
+	38	22295
+	39	23812
+	40	25171
+	41	26630
+	42	25877
+	43	23122
+	44	20736
+	45	18789
+	46	17501
+	47	16128
+	48	15560
+	49	15213
+	50	15030
+	51	15122
+	52	14114
+	53	12393
+	54	10419
+	55	9105
+	56	8170
+	57	7257
+	58	6539
+	59	5938
+	60	5562
+	61	5253
+	62	4926
+	63	4096
+	64	3002
+	65	94
+	66	205
+	67	634
+	68	1821
+	69	8063
+	70	11252
+	71	73
+	72	15
+	73	2
-	28	7
-	29	69
-	30	31762
-	31	33588
-	32	29774
-	33	25303
-	34	22892
-	35	21262
-	36	20984
-	37	21328
-	38	22122
-	39	23683
-	40	25367
-	41	26557
-	42	26002
-	43	23011
-	44	20489
-	45	18683
-	46	17327
-	47	15874
-	48	15460
-	49	15019
-	50	15176
-	51	14987
-	52	14214
-	53	12208
-	54	10347
-	55	9321
-	56	8149
-	57	7315
-	58	6545
-	59	6092
-	60	5679
-	61	5371
-	62	4959
-	63	4212
-	64	3125
-	65	84
-	66	218
-	67	658
-	68	1852
-	69	8181
-	70	10894
-	71	72
-	72	13
-	73	2
-	74	1
