# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_01/J-54/bam/J-54.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	8
+	30	439
+	31	495
+	32	556
+	33	605
+	34	616
+	35	664
+	36	700
+	37	770
+	38	803
+	39	900
+	40	948
+	41	1062
+	42	1195
+	43	1281
+	44	1455
+	45	1501
+	46	1554
+	47	1552
+	48	1659
+	49	1871
+	50	1836
+	51	1974
+	52	2038
+	53	2145
+	54	2283
+	55	2164
+	56	2182
+	57	2333
+	58	2347
+	59	2306
+	60	2329
+	61	2186
+	62	2133
+	63	2246
+	64	2018
+	65	136
+	66	392
+	67	1217
+	68	3597
+	69	13088
+	70	23679
+	71	140
+	72	28
+	73	4
+	74	4
-	29	7
-	30	497
-	31	570
-	32	554
-	33	591
-	34	592
-	35	644
-	36	662
-	37	698
-	38	843
-	39	908
-	40	1005
-	41	1057
-	42	1139
-	43	1300
-	44	1394
-	45	1428
-	46	1483
-	47	1631
-	48	1668
-	49	1765
-	50	1887
-	51	1955
-	52	2159
-	53	2198
-	54	2179
-	55	2255
-	56	2215
-	57	2296
-	58	2327
-	59	2381
-	60	2244
-	61	2160
-	62	2172
-	63	2304
-	64	2032
-	65	167
-	66	378
-	67	1222
-	68	3676
-	69	13200
-	70	23694
-	71	123
-	72	23
-	73	2
-	74	3
