# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-45/bam/J-45.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	8
+	29	48
+	30	39189
+	31	43557
+	32	46544
+	33	50009
+	34	53165
+	35	57142
+	36	61865
+	37	66925
+	38	73384
+	39	79348
+	40	85410
+	41	91539
+	42	96505
+	43	100887
+	44	105308
+	45	110479
+	46	114943
+	47	120332
+	48	125752
+	49	132715
+	50	138546
+	51	146197
+	52	151309
+	53	155123
+	54	159795
+	55	162734
+	56	168185
+	57	175926
+	58	192104
+	59	186139
+	60	192687
+	61	176415
+	62	180682
+	63	183892
+	64	177669
+	65	39912
+	66	105659
+	67	292892
+	68	813336
+	69	2282083
+	70	4246375
+	71	31864
+	72	7514
+	73	1501
+	74	539
-	28	4
-	29	46
-	30	39388
-	31	43277
-	32	46277
-	33	49781
-	34	53308
-	35	57131
-	36	61867
-	37	66629
-	38	73513
-	39	79751
-	40	85945
-	41	91907
-	42	96668
-	43	101242
-	44	105533
-	45	110105
-	46	115227
-	47	120556
-	48	125796
-	49	132637
-	50	139954
-	51	146130
-	52	151335
-	53	154581
-	54	159943
-	55	162381
-	56	168373
-	57	177530
-	58	192050
-	59	185425
-	60	193245
-	61	176131
-	62	180678
-	63	183056
-	64	178420
-	65	39980
-	66	106073
-	67	292380
-	68	813454
-	69	2281915
-	70	4248138
-	71	32153
-	72	7440
-	73	1566
-	74	587
