# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-16/bam/J-16.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	4
+	29	23
+	30	17296
+	31	20304
+	32	22565
+	33	20788
+	34	17097
+	35	15518
+	36	15393
+	37	15917
+	38	17046
+	39	18825
+	40	21400
+	41	24453
+	42	27653
+	43	28549
+	44	26140
+	45	24427
+	46	23557
+	47	23418
+	48	23932
+	49	25336
+	50	27651
+	51	29806
+	52	32056
+	53	32083
+	54	29995
+	55	27948
+	56	27226
+	57	27716
+	58	28150
+	59	27848
+	60	28943
+	61	29261
+	62	30627
+	63	30333
+	64	25419
+	65	3832
+	66	9357
+	67	24545
+	68	64654
+	69	185338
+	70	232618
+	71	1497
+	72	312
+	73	66
+	74	23
-	28	2
-	29	26
-	30	17186
-	31	20455
-	32	22167
-	33	20663
-	34	16749
-	35	15630
-	36	15245
-	37	15791
-	38	17096
-	39	19087
-	40	21449
-	41	24530
-	42	27355
-	43	28364
-	44	26128
-	45	24119
-	46	23610
-	47	23626
-	48	24166
-	49	25338
-	50	27726
-	51	30087
-	52	31864
-	53	31844
-	54	30257
-	55	28023
-	56	27548
-	57	27103
-	58	27889
-	59	27858
-	60	28917
-	61	29349
-	62	30740
-	63	30416
-	64	25444
-	65	3819
-	66	9394
-	67	24588
-	68	64412
-	69	184789
-	70	232723
-	71	1507
-	72	289
-	73	69
-	74	20
