# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_01/J-53/bam/J-53.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	3
+	29	7
+	30	3467
+	31	3447
+	32	3366
+	33	3287
+	34	3298
+	35	3178
+	36	3234
+	37	3256
+	38	3421
+	39	3414
+	40	3314
+	41	3243
+	42	3335
+	43	3323
+	44	3353
+	45	3190
+	46	3276
+	47	3264
+	48	3178
+	49	3349
+	50	3190
+	51	3257
+	52	3172
+	53	3245
+	54	3237
+	55	3052
+	56	3090
+	57	3259
+	58	3352
+	59	3211
+	60	3211
+	61	3069
+	62	3068
+	63	2920
+	64	2809
+	65	137
+	66	391
+	67	1204
+	68	3691
+	69	14068
+	70	26740
+	71	125
+	72	16
+	73	4
+	74	5
-	29	19
-	30	3342
-	31	3371
-	32	3294
-	33	3404
-	34	3338
-	35	3257
-	36	3252
-	37	3311
-	38	3338
-	39	3368
-	40	3408
-	41	3346
-	42	3264
-	43	3279
-	44	3251
-	45	3343
-	46	3197
-	47	3268
-	48	3267
-	49	3224
-	50	3323
-	51	3237
-	52	3259
-	53	3098
-	54	3162
-	55	3075
-	56	3140
-	57	3284
-	58	3315
-	59	3210
-	60	3237
-	61	3040
-	62	2916
-	63	2837
-	64	2735
-	65	129
-	66	376
-	67	1238
-	68	3699
-	69	14159
-	70	26780
-	71	131
-	72	26
-	73	8
-	74	3
