# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-09/bam/J-09.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	4
+	29	21
+	30	8735
+	31	10051
+	32	11198
+	33	12110
+	34	13053
+	35	14111
+	36	15207
+	37	17030
+	38	18802
+	39	20426
+	40	21871
+	41	23482
+	42	24915
+	43	26299
+	44	26841
+	45	27209
+	46	28502
+	47	29509
+	48	30422
+	49	31789
+	50	32876
+	51	34042
+	52	35480
+	53	36244
+	54	36644
+	55	36086
+	56	37023
+	57	38706
+	58	42201
+	59	40413
+	60	41770
+	61	37179
+	62	38754
+	63	40412
+	64	39364
+	65	16192
+	66	40650
+	67	106323
+	68	282768
+	69	763220
+	70	956573
+	71	6341
+	72	1216
+	73	288
+	74	116
-	28	1
-	29	15
-	30	8664
-	31	9890
-	32	11223
-	33	12170
-	34	13283
-	35	14089
-	36	15080
-	37	16819
-	38	18460
-	39	20379
-	40	21580
-	41	23563
-	42	24813
-	43	26059
-	44	26985
-	45	27762
-	46	28625
-	47	29195
-	48	30513
-	49	31128
-	50	33246
-	51	34343
-	52	35761
-	53	35984
-	54	36658
-	55	36450
-	56	37297
-	57	38606
-	58	42268
-	59	40388
-	60	41935
-	61	37318
-	62	39055
-	63	40683
-	64	39167
-	65	15625
-	66	40995
-	67	106687
-	68	283105
-	69	763380
-	70	956763
-	71	6234
-	72	1179
-	73	301
-	74	98
