# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_02/J-83/bam/J-83.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	10
+	29	115
+	30	88136
+	31	90250
+	32	90516
+	33	89276
+	34	87541
+	35	87317
+	36	87940
+	37	90151
+	38	93301
+	39	95727
+	40	96309
+	41	95021
+	42	92854
+	43	88650
+	44	84298
+	45	80768
+	46	78308
+	47	76438
+	48	74881
+	49	73894
+	50	72405
+	51	70346
+	52	66607
+	53	62958
+	54	59100
+	55	54484
+	56	51493
+	57	49536
+	58	47651
+	59	44376
+	60	41687
+	61	38802
+	62	35600
+	63	32626
+	64	27137
+	65	1347
+	66	3208
+	67	9120
+	68	27783
+	69	107753
+	70	151869
+	71	1036
+	72	284
+	73	46
+	74	11
-	28	13
-	29	90
-	30	88070
-	31	90973
-	32	90941
-	33	89315
-	34	87776
-	35	86898
-	36	87664
-	37	89419
-	38	93046
-	39	95500
-	40	96562
-	41	94548
-	42	92558
-	43	88411
-	44	84739
-	45	80966
-	46	78560
-	47	76657
-	48	75473
-	49	74144
-	50	72721
-	51	70050
-	52	66531
-	53	62911
-	54	58665
-	55	54718
-	56	51711
-	57	49586
-	58	47471
-	59	44409
-	60	41704
-	61	38223
-	62	35734
-	63	32213
-	64	27030
-	65	1275
-	66	3135
-	67	9305
-	68	28001
-	69	108017
-	70	151650
-	71	1077
-	72	258
-	73	40
-	74	17
