# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_02/J-76/bam/J-76.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	20
+	29	146
+	30	131457
+	31	154147
+	32	173151
+	33	171312
+	34	148660
+	35	141964
+	36	142330
+	37	147715
+	38	157860
+	39	169304
+	40	180527
+	41	192080
+	42	203203
+	43	204182
+	44	190577
+	45	177865
+	46	172874
+	47	171808
+	48	172614
+	49	174127
+	50	175064
+	51	178717
+	52	179843
+	53	173205
+	54	158550
+	55	144853
+	56	136938
+	57	132038
+	58	126465
+	59	119910
+	60	114865
+	61	109451
+	62	106121
+	63	99680
+	64	82101
+	65	3541
+	66	9104
+	67	26660
+	68	76854
+	69	292655
+	70	413559
+	71	1790
+	72	305
+	73	73
+	74	26
-	28	25
-	29	151
-	30	131649
-	31	154505
-	32	172869
-	33	170904
-	34	148266
-	35	141483
-	36	141541
-	37	148331
-	38	158253
-	39	169755
-	40	181153
-	41	190909
-	42	203235
-	43	203886
-	44	190413
-	45	177963
-	46	173893
-	47	171482
-	48	172597
-	49	174517
-	50	175753
-	51	178016
-	52	179114
-	53	173489
-	54	157744
-	55	145310
-	56	137121
-	57	131070
-	58	127011
-	59	120411
-	60	115484
-	61	108939
-	62	105484
-	63	99724
-	64	82517
-	65	3594
-	66	9120
-	67	26474
-	68	76604
-	69	293548
-	70	412193
-	71	1800
-	72	282
-	73	74
-	74	26
