# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-29/bam/J-29.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	4
+	29	20
+	30	5584
+	31	6333
+	32	7111
+	33	7705
+	34	8242
+	35	8767
+	36	9743
+	37	10416
+	38	11623
+	39	12423
+	40	13678
+	41	14514
+	42	15551
+	43	16430
+	44	16899
+	45	17215
+	46	18213
+	47	18821
+	48	19822
+	49	20840
+	50	21561
+	51	22462
+	52	23382
+	53	24054
+	54	25131
+	55	24946
+	56	25969
+	57	27231
+	58	28729
+	59	28033
+	60	28365
+	61	26626
+	62	27138
+	63	28263
+	64	26690
+	65	7127
+	66	17616
+	67	47505
+	68	131073
+	69	370909
+	70	471396
+	71	3469
+	72	564
+	73	94
+	74	49
-	28	1
-	29	18
-	30	5703
-	31	6380
-	32	7297
-	33	7710
-	34	8145
-	35	8915
-	36	9671
-	37	10387
-	38	11351
-	39	12734
-	40	13536
-	41	14301
-	42	15708
-	43	16515
-	44	17054
-	45	17515
-	46	18496
-	47	18994
-	48	19749
-	49	20648
-	50	21651
-	51	22485
-	52	23323
-	53	24192
-	54	24696
-	55	25034
-	56	25615
-	57	26888
-	58	28835
-	59	27730
-	60	28612
-	61	26537
-	62	27541
-	63	27594
-	64	26237
-	65	7058
-	66	17913
-	67	47465
-	68	131635
-	69	370325
-	70	471200
-	71	3312
-	72	587
-	73	116
-	74	44
