# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_01/J-34/bam/J-34.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	1
+	29	7
+	30	5307
+	31	5417
+	32	5526
+	33	5448
+	34	5397
+	35	5463
+	36	5669
+	37	5929
+	38	6669
+	39	7443
+	40	7967
+	41	8830
+	42	9206
+	43	9938
+	44	10446
+	45	11176
+	46	12199
+	47	13149
+	48	14544
+	49	15976
+	50	17127
+	51	18023
+	52	18300
+	53	18448
+	54	18644
+	55	18484
+	56	18438
+	57	18521
+	58	18632
+	59	18314
+	60	17939
+	61	16399
+	62	15911
+	63	15326
+	64	13868
+	65	848
+	66	2102
+	67	6298
+	68	19248
+	69	70663
+	70	131338
+	71	1898
+	72	405
+	73	75
+	74	24
-	29	7
-	30	5453
-	31	5555
-	32	5609
-	33	5393
-	34	5597
-	35	5505
-	36	5703
-	37	6038
-	38	6604
-	39	7346
-	40	8160
-	41	8758
-	42	9304
-	43	9762
-	44	10433
-	45	11177
-	46	12050
-	47	13307
-	48	14428
-	49	15897
-	50	17459
-	51	17975
-	52	18456
-	53	18338
-	54	18474
-	55	18476
-	56	18258
-	57	18462
-	58	18683
-	59	18346
-	60	18083
-	61	16327
-	62	15889
-	63	15318
-	64	13777
-	65	853
-	66	2040
-	67	6353
-	68	19228
-	69	71046
-	70	130863
-	71	1981
-	72	389
-	73	66
-	74	18
