# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-02/bam/J-02.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	8
+	29	87
+	30	76873
+	31	86326
+	32	95034
+	33	103680
+	34	112755
+	35	121319
+	36	131666
+	37	141356
+	38	151083
+	39	160486
+	40	169495
+	41	177143
+	42	184329
+	43	191401
+	44	194962
+	45	198377
+	46	202308
+	47	204501
+	48	207304
+	49	210035
+	50	213311
+	51	214955
+	52	215205
+	53	214536
+	54	214645
+	55	213561
+	56	211486
+	57	213831
+	58	216157
+	59	207597
+	60	207220
+	61	195384
+	62	194225
+	63	195126
+	64	192018
+	65	111591
+	66	151350
+	67	269772
+	68	580584
+	69	1635097
+	70	2331036
+	71	14243
+	72	2804
+	73	735
+	74	270
-	28	6
-	29	98
-	30	77185
-	31	85484
-	32	95001
-	33	103535
-	34	111814
-	35	121313
-	36	131779
-	37	141651
-	38	150763
-	39	160440
-	40	169030
-	41	176420
-	42	184621
-	43	190596
-	44	195192
-	45	199503
-	46	202026
-	47	205369
-	48	208083
-	49	209430
-	50	212353
-	51	214254
-	52	215628
-	53	215391
-	54	213730
-	55	212921
-	56	210973
-	57	213293
-	58	215753
-	59	206849
-	60	207032
-	61	195287
-	62	194154
-	63	195444
-	64	192527
-	65	112092
-	66	151227
-	67	269501
-	68	582064
-	69	1634162
-	70	2331900
-	71	14234
-	72	2821
-	73	690
-	74	260
