# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-71/bam/J-71.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	8
+	29	55
+	30	18229
+	31	19725
+	32	21464
+	33	22952
+	34	24603
+	35	25996
+	36	27716
+	37	28974
+	38	30719
+	39	32340
+	40	33246
+	41	34761
+	42	36158
+	43	36818
+	44	37333
+	45	37576
+	46	37939
+	47	38327
+	48	38383
+	49	38298
+	50	38207
+	51	39038
+	52	38517
+	53	38701
+	54	38117
+	55	38073
+	56	37349
+	57	37318
+	58	36765
+	59	35400
+	60	35627
+	61	34456
+	62	34512
+	63	35107
+	64	36446
+	65	37819
+	66	49845
+	67	83485
+	68	165321
+	69	400228
+	70	385392
+	71	3363
+	72	643
+	73	172
+	74	55
-	28	7
-	29	66
-	30	17729
-	31	19808
-	32	21259
-	33	23371
-	34	24705
-	35	25958
-	36	27563
-	37	29125
-	38	30743
-	39	31754
-	40	33488
-	41	34790
-	42	35854
-	43	37001
-	44	37433
-	45	37482
-	46	37764
-	47	38268
-	48	38097
-	49	38106
-	50	38336
-	51	38465
-	52	38452
-	53	38569
-	54	38142
-	55	37881
-	56	37241
-	57	37249
-	58	36744
-	59	35985
-	60	35588
-	61	34445
-	62	34542
-	63	34930
-	64	36417
-	65	38092
-	66	49445
-	67	83705
-	68	165161
-	69	400313
-	70	385133
-	71	3393
-	72	619
-	73	157
-	74	39
