# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_02/J-87/bam/J-87.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	2
+	29	31
+	30	7569
+	31	7934
+	32	7716
+	33	7256
+	34	7197
+	35	7315
+	36	7550
+	37	7866
+	38	8334
+	39	8955
+	40	9486
+	41	9715
+	42	10017
+	43	9741
+	44	9493
+	45	9350
+	46	9312
+	47	9172
+	48	9167
+	49	9121
+	50	9060
+	51	9067
+	52	8988
+	53	8243
+	54	7779
+	55	7202
+	56	6929
+	57	6526
+	58	6306
+	59	5935
+	60	5647
+	61	5293
+	62	5077
+	63	4650
+	64	3795
+	65	186
+	66	475
+	67	1283
+	68	3796
+	69	15117
+	70	21190
+	71	111
+	72	25
-	28	4
-	29	39
-	30	7413
-	31	8056
-	32	7721
-	33	7290
-	34	7212
-	35	7222
-	36	7577
-	37	7953
-	38	8387
-	39	9000
-	40	9440
-	41	9827
-	42	10243
-	43	9802
-	44	9337
-	45	9374
-	46	9281
-	47	8970
-	48	8966
-	49	8995
-	50	9206
-	51	9036
-	52	8970
-	53	8220
-	54	7821
-	55	7199
-	56	6840
-	57	6633
-	58	6318
-	59	6005
-	60	5665
-	61	5361
-	62	5051
-	63	4485
-	64	3859
-	65	195
-	66	434
-	67	1253
-	68	3918
-	69	15480
-	70	20991
-	71	107
-	72	20
-	73	6
-	74	1
