# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_02/J-80/bam/J-80.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	1
+	29	37
+	30	25484
+	31	28272
+	32	30204
+	33	31075
+	34	31686
+	35	32410
+	36	34452
+	37	37489
+	38	41631
+	39	45591
+	40	48530
+	41	51084
+	42	52648
+	43	53443
+	44	52383
+	45	51597
+	46	51829
+	47	52039
+	48	53377
+	49	55014
+	50	55274
+	51	55472
+	52	55033
+	53	53551
+	54	51287
+	55	48684
+	56	47320
+	57	46594
+	58	45911
+	59	43865
+	60	42570
+	61	39821
+	62	38547
+	63	36159
+	64	31485
+	65	1928
+	66	4739
+	67	13852
+	68	40875
+	69	150129
+	70	207376
+	71	1442
+	72	171
+	73	43
+	74	12
-	28	5
-	29	40
-	30	25694
-	31	28555
-	32	30467
-	33	31064
-	34	31505
-	35	32676
-	36	34934
-	37	37489
-	38	41579
-	39	44839
-	40	48706
-	41	51161
-	42	52391
-	43	53041
-	44	52274
-	45	51920
-	46	51943
-	47	52937
-	48	53244
-	49	54435
-	50	55423
-	51	55844
-	52	54912
-	53	53500
-	54	51125
-	55	48916
-	56	47463
-	57	46651
-	58	45686
-	59	44100
-	60	42254
-	61	40490
-	62	38922
-	63	36051
-	64	31349
-	65	1838
-	66	4619
-	67	13889
-	68	40908
-	69	149915
-	70	208100
-	71	1521
-	72	175
-	73	39
-	74	19
