# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-10/bam/J-10.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	3
+	29	17
+	30	9900
+	31	10868
+	32	11836
+	33	13088
+	34	13293
+	35	14125
+	36	14731
+	37	15338
+	38	16299
+	39	16693
+	40	17636
+	41	18187
+	42	19070
+	43	19565
+	44	19556
+	45	19362
+	46	19173
+	47	19162
+	48	19155
+	49	19115
+	50	19402
+	51	19462
+	52	19797
+	53	19675
+	54	19556
+	55	18775
+	56	18659
+	57	18862
+	58	20083
+	59	18692
+	60	19037
+	61	17276
+	62	17408
+	63	17691
+	64	17149
+	65	2360
+	66	6527
+	67	19303
+	68	57286
+	69	197945
+	70	365965
+	71	2522
+	72	536
+	73	118
+	74	55
-	28	1
-	29	22
-	30	9791
-	31	11091
-	32	12105
-	33	12996
-	34	13529
-	35	14027
-	36	14823
-	37	15115
-	38	16108
-	39	16928
-	40	17616
-	41	18315
-	42	18887
-	43	19359
-	44	19437
-	45	19260
-	46	19419
-	47	18930
-	48	18937
-	49	18902
-	50	19261
-	51	19451
-	52	19719
-	53	19361
-	54	19541
-	55	19106
-	56	18509
-	57	19161
-	58	19945
-	59	19004
-	60	19274
-	61	17684
-	62	17330
-	63	17599
-	64	17108
-	65	2399
-	66	6573
-	67	19134
-	68	56697
-	69	197151
-	70	366755
-	71	2495
-	72	529
-	73	131
-	74	70
