# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_02/J-77/bam/J-77.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	17
+	29	229
+	30	251984
+	31	275360
+	32	287454
+	33	289075
+	34	288791
+	35	292101
+	36	296800
+	37	302476
+	38	307942
+	39	315736
+	40	328053
+	41	333036
+	42	325704
+	43	308440
+	44	289249
+	45	274734
+	46	261411
+	47	248452
+	48	237329
+	49	229514
+	50	222642
+	51	216198
+	52	203366
+	53	187785
+	54	171950
+	55	157412
+	56	145970
+	57	135994
+	58	125283
+	59	115444
+	60	107934
+	61	99439
+	62	91111
+	63	81710
+	64	66484
+	65	2573
+	66	6635
+	67	19356
+	68	59185
+	69	239022
+	70	333631
+	71	1645
+	72	364
+	73	85
+	74	26
-	28	27
-	29	204
-	30	252220
-	31	275687
-	32	286874
-	33	290382
-	34	288677
-	35	292411
-	36	297591
-	37	301651
-	38	306891
-	39	315292
-	40	326949
-	41	333850
-	42	326257
-	43	307341
-	44	290083
-	45	275175
-	46	262365
-	47	249207
-	48	237980
-	49	229759
-	50	224096
-	51	215388
-	52	205008
-	53	188211
-	54	172169
-	55	157435
-	56	145585
-	57	135445
-	58	125250
-	59	115183
-	60	107882
-	61	99280
-	62	91648
-	63	81326
-	64	66018
-	65	2659
-	66	6664
-	67	19226
-	68	59337
-	69	239327
-	70	333192
-	71	1645
-	72	414
-	73	77
-	74	33
