# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_01/J-49/bam/J-49.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	4
+	29	43
+	30	38794
+	31	46358
+	32	52553
+	33	46878
+	34	35176
+	35	31068
+	36	28490
+	37	27269
+	38	28064
+	39	30322
+	40	33385
+	41	37101
+	42	42306
+	43	44418
+	44	41618
+	45	38984
+	46	38486
+	47	39114
+	48	40392
+	49	44842
+	50	50244
+	51	56488
+	52	62259
+	53	62934
+	54	58712
+	55	54767
+	56	52936
+	57	53156
+	58	55963
+	59	57107
+	60	62289
+	61	63578
+	62	69477
+	63	70631
+	64	60435
+	65	3371
+	66	7428
+	67	23105
+	68	66531
+	69	245767
+	70	445929
+	71	7385
+	72	1846
+	73	465
+	74	136
-	28	4
-	29	52
-	30	38158
-	31	46263
-	32	51963
-	33	46760
-	34	35281
-	35	30817
-	36	28313
-	37	27347
-	38	28318
-	39	30432
-	40	33622
-	41	37318
-	42	42264
-	43	44140
-	44	41974
-	45	38826
-	46	38247
-	47	38775
-	48	40857
-	49	45018
-	50	50419
-	51	56271
-	52	62036
-	53	62896
-	54	58434
-	55	54702
-	56	52820
-	57	53123
-	58	56022
-	59	57290
-	60	62227
-	61	63462
-	62	69820
-	63	70533
-	64	60465
-	65	3288
-	66	7432
-	67	23400
-	68	66120
-	69	246034
-	70	445044
-	71	7679
-	72	1875
-	73	449
-	74	108
