# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-07/bam/J-07.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	28
+	30	4738
+	31	5350
+	32	5456
+	33	4986
+	34	4838
+	35	4941
+	36	5114
+	37	5508
+	38	5971
+	39	6267
+	40	6873
+	41	7214
+	42	7275
+	43	6686
+	44	6512
+	45	6176
+	46	6051
+	47	5955
+	48	5970
+	49	6004
+	50	6339
+	51	6355
+	52	6176
+	53	5757
+	54	5242
+	55	4941
+	56	4773
+	57	4550
+	58	4717
+	59	4408
+	60	4491
+	61	4314
+	62	4291
+	63	3938
+	64	3518
+	65	248
+	66	643
+	67	1797
+	68	5394
+	69	20746
+	70	38080
+	71	292
+	72	57
+	73	6
+	74	2
-	29	23
-	30	4860
-	31	5359
-	32	5248
-	33	4910
-	34	4778
-	35	4974
-	36	5110
-	37	5494
-	38	5913
-	39	6259
-	40	6779
-	41	7243
-	42	7189
-	43	6612
-	44	6228
-	45	6062
-	46	5786
-	47	5885
-	48	5963
-	49	6099
-	50	6224
-	51	6349
-	52	6239
-	53	5723
-	54	5353
-	55	4988
-	56	4706
-	57	4734
-	58	4677
-	59	4492
-	60	4539
-	61	4404
-	62	4288
-	63	3969
-	64	3509
-	65	253
-	66	622
-	67	1783
-	68	5490
-	69	20612
-	70	38704
-	71	291
-	72	48
-	73	11
-	74	6
