# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-36/bam/J-36.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	1
+	29	24
+	30	710
+	31	765
+	32	899
+	33	955
+	34	850
+	35	971
+	36	1056
+	37	1060
+	38	1164
+	39	1305
+	40	1394
+	41	1467
+	42	1493
+	43	1614
+	44	1642
+	45	1711
+	46	1655
+	47	1746
+	48	1824
+	49	1785
+	50	1922
+	51	2000
+	52	2038
+	53	1983
+	54	2155
+	55	1990
+	56	2021
+	57	2105
+	58	2164
+	59	2070
+	60	2039
+	61	1884
+	62	1955
+	63	1952
+	64	1737
+	65	356
+	66	802
+	67	2297
+	68	6589
+	69	18187
+	70	33768
+	71	294
+	72	68
+	73	15
+	74	5
-	28	2
-	29	17
-	30	728
-	31	839
-	32	832
-	33	890
-	34	891
-	35	965
-	36	1068
-	37	1059
-	38	1172
-	39	1263
-	40	1385
-	41	1520
-	42	1540
-	43	1520
-	44	1623
-	45	1670
-	46	1672
-	47	1784
-	48	1792
-	49	1809
-	50	1892
-	51	1934
-	52	1961
-	53	2081
-	54	2047
-	55	2046
-	56	2082
-	57	2069
-	58	2115
-	59	2059
-	60	2029
-	61	1894
-	62	1846
-	63	1879
-	64	1757
-	65	358
-	66	811
-	67	2306
-	68	6368
-	69	18483
-	70	33756
-	71	306
-	72	61
-	73	13
-	74	4
