# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-33/bam/J-33.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	1
+	29	5
+	30	644
+	31	660
+	32	763
+	33	790
+	34	776
+	35	859
+	36	822
+	37	893
+	38	955
+	39	1006
+	40	1119
+	41	1086
+	42	1139
+	43	1187
+	44	1223
+	45	1246
+	46	1326
+	47	1377
+	48	1418
+	49	1556
+	50	1664
+	51	1746
+	52	1776
+	53	1867
+	54	1979
+	55	1993
+	56	2143
+	57	2308
+	58	2775
+	59	2494
+	60	2819
+	61	2358
+	62	2533
+	63	2658
+	64	2850
+	65	1119
+	66	3184
+	67	8620
+	68	24320
+	69	66261
+	70	124936
+	71	784
+	72	158
+	73	39
+	74	17
-	29	6
-	30	616
-	31	701
-	32	718
-	33	797
-	34	751
-	35	876
-	36	815
-	37	893
-	38	932
-	39	1038
-	40	1077
-	41	1148
-	42	1164
-	43	1249
-	44	1274
-	45	1296
-	46	1354
-	47	1404
-	48	1450
-	49	1546
-	50	1638
-	51	1661
-	52	1925
-	53	1845
-	54	1962
-	55	1989
-	56	2039
-	57	2295
-	58	2763
-	59	2589
-	60	2723
-	61	2408
-	62	2503
-	63	2813
-	64	3006
-	65	1095
-	66	3123
-	67	8603
-	68	23932
-	69	66106
-	70	126312
-	71	814
-	72	136
-	73	38
-	74	13
