# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_02/J-82/bam/J-82.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	5
+	29	41
+	30	16667
+	31	18128
+	32	17911
+	33	17312
+	34	17131
+	35	17062
+	36	17686
+	37	18431
+	38	19010
+	39	19737
+	40	20039
+	41	20535
+	42	20707
+	43	20122
+	44	19132
+	45	18149
+	46	17622
+	47	17157
+	48	16579
+	49	16158
+	50	15562
+	51	14993
+	52	14602
+	53	13476
+	54	12488
+	55	11533
+	56	10710
+	57	9836
+	58	9229
+	59	8454
+	60	7831
+	61	7109
+	62	6592
+	63	6019
+	64	4952
+	65	208
+	66	506
+	67	1475
+	68	4566
+	69	18360
+	70	25949
+	71	147
+	72	18
+	73	5
-	28	2
-	29	35
-	30	16531
-	31	18188
-	32	17685
-	33	17284
-	34	17258
-	35	17130
-	36	17616
-	37	18018
-	38	19063
-	39	19592
-	40	20271
-	41	20563
-	42	20543
-	43	20232
-	44	19125
-	45	18264
-	46	17679
-	47	17070
-	48	16545
-	49	15939
-	50	15536
-	51	15089
-	52	14146
-	53	13713
-	54	12585
-	55	11577
-	56	10536
-	57	9948
-	58	9161
-	59	8631
-	60	7861
-	61	7090
-	62	6696
-	63	6068
-	64	5042
-	65	199
-	66	559
-	67	1513
-	68	4484
-	69	18308
-	70	25915
-	71	164
-	72	21
-	73	3
-	74	1
