# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-20/bam/J-20.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	4
+	30	151
+	31	192
+	32	196
+	33	262
+	34	239
+	35	261
+	36	299
+	37	331
+	38	365
+	39	429
+	40	471
+	41	506
+	42	571
+	43	601
+	44	631
+	45	607
+	46	656
+	47	720
+	48	696
+	49	752
+	50	877
+	51	840
+	52	962
+	53	1001
+	54	1033
+	55	966
+	56	1057
+	57	1099
+	58	1243
+	59	1205
+	60	1157
+	61	1030
+	62	1130
+	63	1230
+	64	1219
+	65	518
+	66	1388
+	67	3443
+	68	9328
+	69	25040
+	70	30235
+	71	180
+	72	37
+	73	6
+	74	4
-	28	1
-	29	3
-	30	181
-	31	194
-	32	197
-	33	243
-	34	238
-	35	277
-	36	304
-	37	354
-	38	402
-	39	421
-	40	441
-	41	482
-	42	546
-	43	572
-	44	616
-	45	653
-	46	670
-	47	700
-	48	770
-	49	733
-	50	837
-	51	866
-	52	946
-	53	935
-	54	955
-	55	987
-	56	1031
-	57	1121
-	58	1169
-	59	1167
-	60	1241
-	61	1071
-	62	1078
-	63	1159
-	64	1206
-	65	526
-	66	1396
-	67	3600
-	68	9450
-	69	24965
-	70	30423
-	71	192
-	72	30
-	73	7
-	74	4
