# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-13/bam/J-13.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	1
+	29	12
+	30	749
+	31	782
+	32	805
+	33	878
+	34	947
+	35	948
+	36	1048
+	37	1060
+	38	1196
+	39	1221
+	40	1419
+	41	1393
+	42	1471
+	43	1481
+	44	1627
+	45	1593
+	46	1571
+	47	1612
+	48	1635
+	49	1711
+	50	1749
+	51	1762
+	52	1859
+	53	1826
+	54	1879
+	55	1802
+	56	1829
+	57	1884
+	58	1899
+	59	1818
+	60	1926
+	61	1775
+	62	1727
+	63	1719
+	64	1721
+	65	226
+	66	581
+	67	1738
+	68	5503
+	69	18604
+	70	34452
+	71	199
+	72	32
+	73	6
+	74	2
-	29	19
-	30	745
-	31	763
-	32	809
-	33	836
-	34	909
-	35	968
-	36	1032
-	37	1167
-	38	1182
-	39	1266
-	40	1357
-	41	1446
-	42	1526
-	43	1492
-	44	1617
-	45	1636
-	46	1660
-	47	1654
-	48	1711
-	49	1720
-	50	1742
-	51	1786
-	52	1863
-	53	1839
-	54	1832
-	55	1707
-	56	1821
-	57	1850
-	58	1936
-	59	1797
-	60	1911
-	61	1696
-	62	1759
-	63	1728
-	64	1674
-	65	190
-	66	614
-	67	1776
-	68	5227
-	69	18425
-	70	34540
-	71	204
-	72	25
-	73	7
-	74	2
