# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-65/bam/J-65.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	13
+	30	251
+	31	294
+	32	300
+	33	281
+	34	303
+	35	323
+	36	333
+	37	329
+	38	364
+	39	388
+	40	439
+	41	415
+	42	455
+	43	492
+	44	487
+	45	503
+	46	479
+	47	543
+	48	494
+	49	537
+	50	597
+	51	562
+	52	561
+	53	620
+	54	574
+	55	588
+	56	595
+	57	606
+	58	626
+	59	590
+	60	550
+	61	605
+	62	574
+	63	651
+	64	649
+	65	627
+	66	823
+	67	1299
+	68	2467
+	69	5730
+	70	5659
+	71	34
+	72	3
+	73	1
+	74	1
-	29	10
-	30	217
-	31	274
-	32	246
-	33	302
-	34	301
-	35	322
-	36	294
-	37	363
-	38	345
-	39	407
-	40	422
-	41	449
-	42	413
-	43	507
-	44	497
-	45	522
-	46	532
-	47	558
-	48	531
-	49	547
-	50	540
-	51	565
-	52	590
-	53	643
-	54	604
-	55	637
-	56	593
-	57	596
-	58	639
-	59	563
-	60	566
-	61	602
-	62	608
-	63	544
-	64	622
-	65	672
-	66	771
-	67	1327
-	68	2545
-	69	5690
-	70	5832
-	71	30
-	72	8
-	73	2
-	74	1
