# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_01/J-56/bam/J-56.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	1
+	29	14
+	30	138
+	31	132
+	32	95
+	33	90
+	34	80
+	35	98
+	36	87
+	37	94
+	38	100
+	39	90
+	40	101
+	41	102
+	42	85
+	43	111
+	44	88
+	45	101
+	46	81
+	47	108
+	48	91
+	49	72
+	50	107
+	51	80
+	52	76
+	53	81
+	54	76
+	55	64
+	56	63
+	57	56
+	58	55
+	59	47
+	60	59
+	61	54
+	62	49
+	63	43
+	64	37
+	66	7
+	67	11
+	68	38
+	69	142
+	70	259
+	71	3
-	28	1
-	29	20
-	30	121
-	31	126
-	32	110
-	33	96
-	34	104
-	35	106
-	36	98
-	37	80
-	38	94
-	39	99
-	40	83
-	41	104
-	42	114
-	43	113
-	44	99
-	45	101
-	46	85
-	47	95
-	48	95
-	49	85
-	50	81
-	51	81
-	52	81
-	53	78
-	54	81
-	55	63
-	56	70
-	57	71
-	58	54
-	59	58
-	60	64
-	61	46
-	62	40
-	63	45
-	64	35
-	65	1
-	66	4
-	67	8
-	68	30
-	69	129
-	70	224
-	71	1
-	72	1
