# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_01/J-38/bam/J-38.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	5
+	30	219
+	31	208
+	32	211
+	33	224
+	34	240
+	35	239
+	36	222
+	37	237
+	38	222
+	39	261
+	40	244
+	41	266
+	42	298
+	43	299
+	44	348
+	45	327
+	46	370
+	47	389
+	48	397
+	49	415
+	50	451
+	51	463
+	52	463
+	53	445
+	54	426
+	55	430
+	56	420
+	57	442
+	58	444
+	59	398
+	60	362
+	61	354
+	62	342
+	63	377
+	64	280
+	65	35
+	66	66
+	67	203
+	68	537
+	69	1925
+	70	3633
+	71	50
+	72	13
+	73	2
+	74	1
-	29	7
-	30	208
-	31	207
-	32	206
-	33	201
-	34	210
-	35	176
-	36	186
-	37	227
-	38	217
-	39	233
-	40	244
-	41	244
-	42	290
-	43	294
-	44	311
-	45	319
-	46	326
-	47	322
-	48	430
-	49	395
-	50	463
-	51	429
-	52	443
-	53	468
-	54	482
-	55	434
-	56	429
-	57	434
-	58	396
-	59	395
-	60	363
-	61	353
-	62	332
-	63	364
-	64	313
-	65	18
-	66	66
-	67	188
-	68	579
-	69	1877
-	70	3626
-	71	70
-	72	10
-	73	1
-	74	1
