# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-01/bam/J-01.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	1
+	29	20
+	30	9216
+	31	10320
+	32	11155
+	33	11802
+	34	11922
+	35	12972
+	36	13847
+	37	15469
+	38	17364
+	39	19438
+	40	21385
+	41	23614
+	42	24182
+	43	23507
+	44	23306
+	45	23305
+	46	23797
+	47	24329
+	48	24951
+	49	26079
+	50	27425
+	51	28263
+	52	28135
+	53	27679
+	54	26481
+	55	25532
+	56	25122
+	57	25378
+	58	26054
+	59	25165
+	60	25976
+	61	24867
+	62	24701
+	63	23673
+	64	21666
+	65	1922
+	66	5092
+	67	15414
+	68	44328
+	69	159532
+	70	297804
+	71	1663
+	72	326
+	73	85
+	74	33
-	28	1
-	29	30
-	30	9094
-	31	10195
-	32	11222
-	33	11846
-	34	11903
-	35	12727
-	36	14025
-	37	15492
-	38	17377
-	39	19522
-	40	21369
-	41	23272
-	42	24378
-	43	23974
-	44	23403
-	45	23223
-	46	23590
-	47	24418
-	48	25059
-	49	25880
-	50	27367
-	51	28272
-	52	28538
-	53	27729
-	54	26384
-	55	25321
-	56	25104
-	57	25132
-	58	26287
-	59	25296
-	60	26105
-	61	25092
-	62	24857
-	63	24039
-	64	21786
-	65	1897
-	66	5021
-	67	14912
-	68	43613
-	69	159646
-	70	297104
-	71	1681
-	72	342
-	73	88
-	74	34
