# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_02/J-79/bam/J-79.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	38
+	30	2751
+	31	3024
+	32	2987
+	33	3105
+	34	3268
+	35	3286
+	36	3302
+	37	3550
+	38	3682
+	39	3737
+	40	3990
+	41	3883
+	42	3777
+	43	3771
+	44	3564
+	45	3548
+	46	3427
+	47	3231
+	48	3114
+	49	2977
+	50	2904
+	51	2700
+	52	2537
+	53	2362
+	54	2239
+	55	2050
+	56	1946
+	57	1760
+	58	1658
+	59	1511
+	60	1374
+	61	1239
+	62	1198
+	63	1133
+	64	887
+	65	35
+	66	87
+	67	268
+	68	858
+	69	3321
+	70	4705
+	71	27
+	72	2
+	73	2
-	28	4
-	29	33
-	30	2723
-	31	2971
-	32	2979
-	33	3076
-	34	3259
-	35	3274
-	36	3445
-	37	3575
-	38	3653
-	39	3726
-	40	3905
-	41	3761
-	42	3790
-	43	3722
-	44	3719
-	45	3394
-	46	3277
-	47	3206
-	48	3091
-	49	2905
-	50	2830
-	51	2694
-	52	2564
-	53	2425
-	54	2248
-	55	2040
-	56	1879
-	57	1828
-	58	1654
-	59	1527
-	60	1469
-	61	1312
-	62	1168
-	63	1043
-	64	928
-	65	33
-	66	102
-	67	254
-	68	867
-	69	3309
-	70	4698
-	71	21
-	72	5
-	73	4
