# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-47/bam/J-47.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	42
+	30	28326
+	31	32035
+	32	34517
+	33	36872
+	34	39319
+	35	41680
+	36	44205
+	37	46038
+	38	48785
+	39	50807
+	40	53192
+	41	54819
+	42	56548
+	43	58006
+	44	58294
+	45	58700
+	46	59045
+	47	59347
+	48	59626
+	49	59740
+	50	60683
+	51	61088
+	52	60776
+	53	60049
+	54	59951
+	55	59287
+	56	58650
+	57	59809
+	58	62238
+	59	59352
+	60	59159
+	61	54237
+	62	53762
+	63	53452
+	64	49345
+	65	7466
+	66	19903
+	67	55702
+	68	153479
+	69	450340
+	70	840359
+	71	5005
+	72	971
+	73	204
+	74	93
-	28	7
-	29	48
-	30	28669
-	31	31797
-	32	34570
-	33	37073
-	34	39644
-	35	41300
-	36	44329
-	37	46572
-	38	48684
-	39	51367
-	40	53232
-	41	54499
-	42	57007
-	43	58372
-	44	58285
-	45	58770
-	46	58844
-	47	58883
-	48	59559
-	49	59776
-	50	60228
-	51	60770
-	52	60386
-	53	60338
-	54	59885
-	55	59220
-	56	59028
-	57	59964
-	58	61526
-	59	59349
-	60	59431
-	61	54185
-	62	54121
-	63	53119
-	64	49823
-	65	7645
-	66	19887
-	67	55246
-	68	152800
-	69	450558
-	70	842646
-	71	5199
-	72	938
-	73	224
-	74	103
