# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-74/bam/J-74.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	4
+	30	1777
+	31	1900
+	32	1793
+	33	1797
+	34	1816
+	35	1885
+	36	1799
+	37	1705
+	38	1697
+	39	1568
+	40	1579
+	41	1618
+	42	1447
+	43	1458
+	44	1368
+	45	1304
+	46	1237
+	47	1091
+	48	1086
+	49	1027
+	50	923
+	51	898
+	52	906
+	53	823
+	54	749
+	55	760
+	56	630
+	57	678
+	58	599
+	59	545
+	60	521
+	61	513
+	62	479
+	63	419
+	64	424
+	65	405
+	66	425
+	67	563
+	68	941
+	69	1936
+	70	1819
+	71	10
+	72	2
-	29	5
-	30	1735
-	31	1851
-	32	1832
-	33	1806
-	34	1867
-	35	1751
-	36	1712
-	37	1757
-	38	1682
-	39	1682
-	40	1650
-	41	1648
-	42	1459
-	43	1357
-	44	1349
-	45	1211
-	46	1250
-	47	1098
-	48	1040
-	49	1022
-	50	1027
-	51	925
-	52	867
-	53	784
-	54	765
-	55	722
-	56	665
-	57	605
-	58	570
-	59	545
-	60	545
-	61	502
-	62	478
-	63	399
-	64	429
-	65	420
-	66	467
-	67	609
-	68	945
-	69	1856
-	70	1827
-	71	8
-	72	2
-	73	2
