# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-24/bam/J-24.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	10
+	30	1839
+	31	2193
+	32	2292
+	33	2362
+	34	2499
+	35	2590
+	36	2747
+	37	3038
+	38	3181
+	39	3631
+	40	3688
+	41	3988
+	42	4025
+	43	4171
+	44	4260
+	45	4228
+	46	4353
+	47	4316
+	48	4456
+	49	4541
+	50	4618
+	51	4877
+	52	5077
+	53	5077
+	54	4918
+	55	4988
+	56	4883
+	57	5180
+	58	5485
+	59	5116
+	60	5349
+	61	4853
+	62	5016
+	63	5194
+	64	4903
+	65	1837
+	66	4689
+	67	12122
+	68	32363
+	69	86554
+	70	107135
+	71	822
+	72	143
+	73	29
+	74	15
-	28	2
-	29	11
-	30	1816
-	31	2128
-	32	2261
-	33	2406
-	34	2479
-	35	2604
-	36	2689
-	37	2971
-	38	3220
-	39	3445
-	40	3638
-	41	3981
-	42	4092
-	43	4309
-	44	4234
-	45	4310
-	46	4420
-	47	4532
-	48	4555
-	49	4632
-	50	4653
-	51	4955
-	52	5080
-	53	5023
-	54	4966
-	55	4940
-	56	5080
-	57	5187
-	58	5389
-	59	5385
-	60	5339
-	61	4946
-	62	5073
-	63	5048
-	64	5020
-	65	1858
-	66	4698
-	67	12188
-	68	32186
-	69	86788
-	70	107814
-	71	866
-	72	156
-	73	42
-	74	17
