# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_02/J-78/bam/J-78.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	6
+	29	56
+	30	23369
+	31	25399
+	32	26337
+	33	25529
+	34	25217
+	35	25572
+	36	26269
+	37	26821
+	38	28346
+	39	29165
+	40	30168
+	41	30602
+	42	31138
+	43	30741
+	44	29730
+	45	28491
+	46	27935
+	47	26821
+	48	26084
+	49	25456
+	50	24943
+	51	24336
+	52	23483
+	53	22194
+	54	20531
+	55	19204
+	56	17948
+	57	17155
+	58	16237
+	59	14917
+	60	14173
+	61	12852
+	62	12010
+	63	11215
+	64	9483
+	65	391
+	66	1072
+	67	3033
+	68	9251
+	69	36608
+	70	50551
+	71	277
+	72	53
+	73	14
+	74	4
-	28	5
-	29	54
-	30	23359
-	31	24943
-	32	26402
-	33	25758
-	34	25270
-	35	25539
-	36	26392
-	37	27083
-	38	28539
-	39	29115
-	40	30046
-	41	30602
-	42	30872
-	43	30527
-	44	29828
-	45	28699
-	46	27618
-	47	26824
-	48	25988
-	49	25429
-	50	24881
-	51	24306
-	52	23330
-	53	22049
-	54	20637
-	55	19219
-	56	18141
-	57	17173
-	58	16122
-	59	15105
-	60	14194
-	61	12652
-	62	12066
-	63	11290
-	64	9415
-	65	446
-	66	984
-	67	3001
-	68	9397
-	69	36326
-	70	50596
-	71	267
-	72	56
-	73	10
-	74	4
