# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-23/bam/J-23.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	7
+	30	1207
+	31	1360
+	32	1402
+	33	1380
+	34	1367
+	35	1463
+	36	1631
+	37	1940
+	38	2354
+	39	2617
+	40	3127
+	41	3513
+	42	3683
+	43	3660
+	44	3579
+	45	3678
+	46	3957
+	47	4301
+	48	4845
+	49	5537
+	50	6102
+	51	6744
+	52	7368
+	53	7331
+	54	7892
+	55	7883
+	56	8648
+	57	9984
+	58	12573
+	59	12107
+	60	13492
+	61	11447
+	62	12577
+	63	14161
+	64	16187
+	65	12484
+	66	31753
+	67	83523
+	68	214326
+	69	543104
+	70	643899
+	71	3792
+	72	687
+	73	155
+	74	87
-	29	6
-	30	1179
-	31	1342
-	32	1421
-	33	1422
-	34	1401
-	35	1490
-	36	1531
-	37	1860
-	38	2254
-	39	2670
-	40	3106
-	41	3502
-	42	3627
-	43	3731
-	44	3664
-	45	3688
-	46	3890
-	47	4188
-	48	4756
-	49	5443
-	50	6140
-	51	6808
-	52	7217
-	53	7436
-	54	7939
-	55	7817
-	56	8584
-	57	9978
-	58	12760
-	59	11773
-	60	13541
-	61	11211
-	62	12565
-	63	14108
-	64	16320
-	65	12553
-	66	32180
-	67	83048
-	68	214380
-	69	543338
-	70	643910
-	71	3807
-	72	655
-	73	167
-	74	78
