# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_01/J-52/bam/J-52.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	3
+	29	36
+	30	5217
+	31	5723
+	32	4977
+	33	4295
+	34	4216
+	35	4054
+	36	4177
+	37	4560
+	38	4700
+	39	4995
+	40	5234
+	41	5707
+	42	5739
+	43	5446
+	44	5510
+	45	5276
+	46	5335
+	47	5396
+	48	5441
+	49	5507
+	50	5534
+	51	5794
+	52	5563
+	53	5464
+	54	5145
+	55	4897
+	56	4707
+	57	4530
+	58	4487
+	59	4292
+	60	4223
+	61	3883
+	62	3705
+	63	3535
+	64	3122
+	65	105
+	66	303
+	67	978
+	68	2951
+	69	12123
+	70	21846
+	71	88
+	72	16
+	73	4
+	74	3
-	28	3
-	29	46
-	30	5244
-	31	5805
-	32	4928
-	33	4521
-	34	4284
-	35	4263
-	36	4096
-	37	4328
-	38	4796
-	39	5038
-	40	5167
-	41	5669
-	42	5807
-	43	5455
-	44	5249
-	45	5405
-	46	5420
-	47	5430
-	48	5371
-	49	5424
-	50	5642
-	51	5624
-	52	5580
-	53	5448
-	54	5121
-	55	4925
-	56	4750
-	57	4655
-	58	4567
-	59	4291
-	60	4036
-	61	3840
-	62	3650
-	63	3503
-	64	3063
-	65	128
-	66	281
-	67	994
-	68	2880
-	69	12080
-	70	22238
-	71	89
-	72	19
-	73	6
-	74	3
